District,Province,Population_2024,Pop_Pct_National,Density_2024_per_km2,Density_2012_per_km2,Urban_Pct,Rural_Pct,Estate_Pct,Estimated_ARPU_Rs_per_month,Dialog_Tower_Count,Fiber_Distance_km,ROI_Percentage,Priority_Cluster
Colombo,Western,2375415,10.9,3551,3438,74.6,25.0,0.2,1660.0,117,3.97,33.29,1
Gampaha,Western,2436142,11.2,1776,1719,14.4,85.6,0.0,638.0,66,2.66,9.56,2
Kalutara,Western,1305784,6.0,805,775,11.5,85.8,2.6,589.0,107,2.64,0.91,0
Kandy,Central,1461895,6.7,780,717,11.7,82.7,5.6,447.0,29,0.52,7.12,0
Matale,Central,526870,2.4,268,248,11.9,84.9,3.2,451.0,86,0.58,2.12,0
Nuwara Eliya,Central,725280,3.3,427,417,5.0,42.5,51.7,333.0,75,2.34,0.5,0
Galle,Southern,1097372,5.0,695,658,12.3,86.1,1.6,457.0,35,1.9,2.2,0
Matara,Southern,837889,3.8,648,641,11.8,86.2,2.0,449.0,117,0.66,7.87,0
Hambantota,Southern,671418,3.1,273,240,5.1,94.9,0.0,335.0,97,3.91,0.5,0
Jaffna,Northern,594751,2.7,631,629,19.1,80.9,,573.0,101,1.31,4.09,0
Mannar,Northern,123756,0.6,66,53,19.5,80.5,,580.0,89,0.82,1.44,0
Vavuniya,Northern,172312,0.8,96,92,16.6,83.4,,530.0,89,2.66,0.5,0
Mullaitivu,Northern,122619,0.6,51,38,0.0,100.0,,249.0,102,1.84,0.5,0
Kilinochchi,Northern,136710,0.6,115,94,0.0,100.0,,249.0,114,3.94,0.5,0
Batticaloa,Eastern,595918,2.7,251,202,27.9,72.1,,722.0,118,2.13,6.14,0
Ampara,Eastern,744551,3.4,179,154,23.6,76.4,,649.0,38,3.51,0.5,0
Trincomalee,Eastern,442745,2.0,181,150,21.6,78.4,,615.0,17,2.88,1.65,0
Kurunegala,North Western,1768156,8.1,380,350,1.8,97.9,0.3,279.0,36,2.08,0.5,0
Puttalam,North Western,818816,3.8,278,265,8.6,91.3,0.1,395.0,67,0.55,3.7,0
Anuradhapura,North Central,960080,4.4,147,129,5.5,94.5,0.0,342.0,16,3.8,0.5,0
Polonnaruwa,North Central,447530,2.1,137,132,8.3,91.7,,389.0,102,2.47,0.9,0
Badulla,Uva,872307,4.0,314,288,8.3,74.0,17.7,389.0,44,1.85,1.43,0
Moneragala,Uva,527585,2.4,96,82,0.0,98.4,1.6,249.0,52,0.56,0.5,0
Ratnapura,Sabaragamuwa,1145423,5.3,356,336,9.6,81.9,8.4,412.0,16,1.31,2.43,0
Kegalle,Sabaragamuwa,870476,4.0,530,499,1.9,92.0,6.1,281.0,78,1.34,0.5,0
